[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3900589104.8775,08/07/2023,4:57 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1154,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM783,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,771,PREAMP_SERIAL_NUMBER
INFO,LB776,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Glass w 3d,SAMPLE_MATERIAL
INFO,QD Brass ,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3900589139.057,300.231811523438,2863.79541015625,0.000118531712104576,2.05946620749885E-6,1,0.499626677034896,40.0298881530762,2.00265445356921,55.9299997985363,0.000598812678254349,0.000111512260556108,0.25,4.58748501566912E-8,0.000118509963961348,5.03034984759629E-7,300.231811523438,300.231811523438,2861.82763671875,2865.76318359375,48.6047878398513,20.5949725439511,34.3098640441895,0,0,0,20,298.328857421875,1,6,1,2.21588134765625,33.2355842590332,,,,,,,,,,,,,,,,
,3900589139.5315,300.230453491211,2859.26440429687,0.000119792926766087,1.43958576223172E-6,1,0.499626677034896,40.0298881530762,2.00233782224415,55.9299997985363,0.00060493740470188,0.000113509034814326,0.25,2.10187967077784E-7,0.000119770319878019,6.72185253322197E-7,300.231811523438,300.231811523438,2856.701171875,2861.82763671875,48.8697599078706,20.5963073703064,34.315258026123,0,0,0,20,298.330413818359,1,6,1,2.2186279296875,37.1456527709961,,,,,,,,,,,,,,,,
,3900589140.083,300.233947753906,2852.79321289062,0.000117154137938954,2.34449616985866E-6,1,0.499626677034896,40.0298881530762,2.00233782224415,55.9399984776974,0.000591287997625958,0.000112751386709841,0.25,5.50556302521758E-7,0.000117130686977331,1.00230783342196E-6,300.229095458984,300.229095458984,2850.79321289062,2854.79321289062,49.1097198632744,20.5963073703064,34.3136405944824,0,0,0,20,298.330413818359,1,6,1,2.2271728515625,31.2805480957031,,,,,,,,,,,,,,,,
,3900589140.5415,300.235336303711,2848.7744140625,0.000118312034968499,1.82574109531011E-6,1,0.499626677034896,40.0298881530762,2.00221935003362,55.9299997985363,0.00059739061985017,0.000112282456070864,0.25,2.43846432883281E-7,0.000118289551573718,7.00117280713033E-7,300.238800048828,300.238800048828,2846.75561523438,2850.79321289062,48.810356140409,20.5944619605594,34.3117523193359,0,0,0,20,298.328643798828,1,6,1,2.2222900390625,32.7468223571777,,,,,,,,,,,,,,,,
,3900589141.0485,300.232666015625,2843.73669433594,0.000117208989294223,2.61209028749242E-6,1,0.499626677034896,40.0298881530762,2.00221935003362,55.9399984776974,0.000593147043036548,0.000104099950611214,0.25,-1.17109852671441E-6,0.000117192172791824,-7.18819491967292E-7,300.231872558594,300.231872558594,2841.73828125,2845.73510742187,48.2851017754859,20.5944619605594,34.3292846679687,0,0,0,20,298.332183837891,1,6,1,2.22381591796875,32.7468223571777,,,,,,,,,,,,,,,,
,3900589141.52,300.234909057617,2839.22961425781,0.000117080107961782,1.63237193414725E-6,1,0.499626677034896,40.0298881530762,2.00240574315417,55.9299997985363,0.000591530879443107,0.000109470897912007,0.25,-8.58085164765249E-8,0.000117059121694134,3.65772006389781E-7,300.233459472656,300.233459472656,2836.72094726562,2841.73828125,48.8424029096975,20.5960489027826,34.3292846679687,0,0,0,20,298.328033447266,1,6,1,2.22579956054687,35.190616607666,,,,,,,,,,,,,,,,
,3900589142.045,300.236358642578,2833.78173828125,0.00011832631042865,1.97885909307044E-6,1,0.499626677034896,40.0298881530762,2.00240574315417,55.9399984776974,0.000597014059246611,0.000115011583823633,0.25,7.79425591689187E-7,0.000118301755363191,1.23565253914098E-6,300.236358642578,300.236358642578,2831.79614257813,2835.76733398438,49.524764606986,20.5960489027826,34.3263168334961,0,0,0,20,298.333160400391,1,6,1,2.22152709960938,34.7018585205078,,,,,,,,,,,,,,,,
,3900589142.5165,300.237915039063,2828.82849121094,0.000117012503992012,2.82957863495586E-6,1,0.499626677034896,40.0298881530762,2.00263427772815,55.9399984776974,0.000590744767653636,0.000112165097439136,0.25,4.57624360139264E-7,0.000116989424248515,9.08840065374431E-7,300.236358642578,300.236358642578,2826.81030273438,2830.8466796875,49.165997116659,20.6017059207154,34.3327903747559,0,0,0,20,298.329010009766,1,6,1,2.21588134765625,34.7018585205078,,,,,,,,,,,,,,,,
,3900589143.0195,300.235763549805,2824.31201171875,0.000117373849488436,2.26519625151595E-6,1,0.499626677034896,40.0298881530762,2.00263427772815,55.9299997985363,0.00059415205962202,0.00010399266513456,0.25,-1.22711500190337E-6,0.000117357208779405,-7.74194823381132E-7,300.239471435547,300.239471435547,2821.81372070313,2826.81030273438,48.6102592394859,20.6017059207154,34.3295555114746,0,0,0,20,298.328216552734,1,6,1,2.21542358398438,33.2355842590332,,,,,,,,,,,,,,,,
,3900589143.525,300.231170654297,2818.82934570313,0.00011648222832709,2.65149810773591E-6,1,0.499626677034896,40.0298881530762,2.00242292486021,55.9299997985363,0.000586526768081493,0.000119613264395997,0.25,2.0328078545599E-6,0.000116453191624501,2.48170415737781E-6,300.232055664063,300.232055664063,2816.84326171875,2820.8154296875,48.7658033148129,20.5921110227635,34.3295555114746,0,0,0,20,298.330780029297,1,6,1,2.21954345703125,34.7018585205078,,,,,,,,,,,,,,,,
